code;pairCode;name;price;priceRatio;standardPrice;purchasePrice;purchasePriceVatRate;purchasePriceIncludingVat;actionPrice;maxDiscount;
"97062";"1";"nástraha KEITECH Swing Impact 3 inch, 7,6cm, Green Pumpkin Fire";"6,25";"1";"6,25";"4,07";"23";"1";"6,25";;
"97066";"1";"nástraha KEITECH Swing Impact 3 inch, 7,6cm, Green Pumpkin Fire";"6,25";"1";"6,25";"4,07";"23";"1";"6,25";;
"97067";"1";"nástraha KEITECH Swing Impact 3 inch, 7,6cm, Green Pumpkin Fire";"6,25";"1";"6,25";"4,07";"23";"1";"6,25";;
"97068";"1";"nástraha KEITECH Swing Impact 3 inch, 7,6cm, Green Pumpkin Fire";"6,25";"1";"6,25";"4,07";"23";"1";"6,25";;
"97073";"1";"nástraha KEITECH Swing Impact 3 inch, 7,6cm, Green Pumpkin Fire";"6,25";"1";"6,25";"3,34";"23";"1";"6,25";;
"43547";"2";"naviják SHIMANO SEDONA 4000 XGFI";"70,72";"1";"70,72";"51,10";"23";"1";"70,72";;
"46681";"3";"Nástraha FANATIK Larva LUX 1,6""; 4,3 cm, 10 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"46683";"3";"Nástraha FANATIK Larva LUX 1,6""; 4,3 cm, 10 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"46685";"3";"Nástraha FANATIK Larva LUX 1,6""; 4,3 cm, 10 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"46687";"3";"Nástraha FANATIK Larva LUX 1,6""; 4,3 cm, 10 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"96684";"4";"Nástraha FANATIC Mik Maus 5 cm, 8 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"96685";"4";"Nástraha FANATIC Mik Maus 5 cm, 8 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"96845";"4";"Nástraha FANATIC Mik Maus 5 cm, 8 ks";"4,26";"1";"4,26";"2,60";"23";"1";"2,56";;
"3963P-S";;"Boilie MIKBAITS Spiceman Pikantná slivka";"15,97";"1";"15,97";"12,50";"23";"1";"15,97";"10";
"19327X";"5";"SET = 2x naviják CARPEX F-Runner QD";"100,45";"1";"100,45";"42,40";"23";"1";"100,45";;
"19328X";"5";"SET = 2x naviják CARPEX F-Runner QD";"106,00";"1";"106,00";"50,94";"23";"1";"106,00";;
"46692";"6";"nástraha FANATIC Larva LUX 3,0; 7,5 cm, #023, 6 ks";"5,33";"1";"5,33";"1,09";"23";"1";"3,20";;
"46694";"6";"nástraha FANATIC Larva LUX 3,0; 7,5 cm, #023, 6 ks";"5,33";"1";"5,33";"1,09";"23";"1";"3,20";;
"46697";"6";"nástraha FANATIC Larva LUX 3,0; 7,5 cm, #023, 6 ks";"5,33";"1";"5,33";"3,26";"23";"1";"3,20";;
"46702";"6";"nástraha FANATIC Larva LUX 3,0; 7,5 cm, #023, 6 ks";"5,33";"1";"5,33";"1,09";"23";"1";"3,20";;
"39769";;"signalizátor pre sadu DELPHIN Totem, zelený";"28,95";"1";"28,95";"15,03";"23";"1";"24,61";"25";
"100526";;"Vobler ROBINSON Hogan F70, 7cm, 11g, Blue Clown";"6,67";"1";"6,67";"3,36";"23";"1";"6,67";;
"100623";;"Škrabka PRIME so zásobníkom a nožom";"7,07";"1";"7,07";"3,00";"23";"1";"7,07";;
"100722";;"Nástraha ROBINSON Ripper Longinus, 18 cm, Perch Shiner";"4,30";"1";"4,30";"1,98";"23";"1";"4,30";;
"100737";"7";"Prút ROBINSON Flexcore Feeder";"57,00";"1";"57,00";"24,13";"23";"1";"57,00";;
"100738";"7";"Prút ROBINSON Flexcore Feeder";"58,40";"1";"58,40";"24,69";"23";"1";"58,40";;
"100739";"7";"Prút ROBINSON Flexcore Feeder";"59,70";"1";"59,70";"27,22";"23";"1";"59,70";;
"100778";;"Forma Method Feeder Fans Push";"3,49";"1";"3,49";"1,77";"23";"1";"3,49";;
"104049";;"Vozík SENSAS Trolley Club";"75,95";"1";"75,95";"33,89";"23";"1";"75,95";;
"104079";"8";"Boilie STARBAITS Pro Ginger & Squid Pop Up";"6,70";"1";"6,70";"3,01";"23";"1";"6,70";;
"104080";"8";"Boilie STARBAITS Pro Ginger & Squid Pop Up";"6,70";"1";"6,70";"3,01";"23";"1";"6,70";;
"104094";"9";"Boilie STARBAITS Pro Ginger & Squid, 800 g";"12,82";"1";"12,82";"5,79";"23";"1";"12,82";;
"104095";"9";"Boilie STARBAITS Pro Ginger & Squid, 800 g";"12,82";"1";"12,82";"5,79";"23";"1";"12,82";;
"104109";;"Dip STARBAITS PRO Ginger & Squid Boost/ Glug";"9,59";"1";"9,59";"4,40";"23";"1";"9,59";;
"104146";"10";"Boilie STARBAITS Hold Up v dipe";"6,20";"1";"6,20";"2,95";"23";"1";"6,20";;
"104147";"10";"Boilie STARBAITS Hold Up v dipe";"6,70";"1";"6,70";"3,10";"23";"1";"6,70";;
"104169";;"Nástraha GUNKI Boomer 21 g, Signal Frog";"9,59";"1";"9,59";"4,81";"23";"1";"9,59";;
